2018-03-13 23:56:13 startup archives unpack
2018-03-13 23:56:18 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:18 configure wget:amd64 1.18-5+deb9u1 <none>
2018-03-13 23:56:18 status unpacked wget:amd64 1.18-5+deb9u1
2018-03-13 23:56:18 status unpacked wget:amd64 1.18-5+deb9u1
2018-03-13 23:56:18 status half-configured wget:amd64 1.18-5+deb9u1
2018-03-13 23:56:18 status installed wget:amd64 1.18-5+deb9u1
2018-03-13 23:56:18 configure libkrb5-3:amd64 1.15-1+deb9u1 <none>
2018-03-13 23:56:18 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status half-configured libkrb5-3:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status installed libkrb5-3:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 configure libgssapi-krb5-2:amd64 1.15-1+deb9u1 <none>
2018-03-13 23:56:18 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status half-configured libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 configure libcurl3:amd64 7.52.1-5+deb9u4 <none>
2018-03-13 23:56:18 status unpacked libcurl3:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:18 status half-configured libcurl3:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:18 status installed libcurl3:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:18 configure curl:amd64 7.52.1-5+deb9u4 <none>
2018-03-13 23:56:18 status unpacked curl:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:18 status half-configured curl:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:18 status installed curl:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:18 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-03-13 23:56:18 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:18 status installed libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:18 trigproc ca-certificates:all 20161130+nmu1 <none>
2018-03-13 23:56:18 status half-configured ca-certificates:all 20161130+nmu1
2018-03-13 23:56:18 status installed ca-certificates:all 20161130+nmu1
2018-03-13 23:56:21 startup archives unpack
2018-03-13 23:56:21 install libassuan0:amd64 <none> 2.4.3-2
2018-03-13 23:56:21 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:21 status half-installed libassuan0:amd64 2.4.3-2
2018-03-13 23:56:21 status unpacked libassuan0:amd64 2.4.3-2
2018-03-13 23:56:21 status unpacked libassuan0:amd64 2.4.3-2
2018-03-13 23:56:21 install pinentry-curses:amd64 <none> 1.0.0-2
2018-03-13 23:56:21 status half-installed pinentry-curses:amd64 1.0.0-2
2018-03-13 23:56:21 status unpacked pinentry-curses:amd64 1.0.0-2
2018-03-13 23:56:21 status unpacked pinentry-curses:amd64 1.0.0-2
2018-03-13 23:56:21 install libnpth0:amd64 <none> 1.3-1
2018-03-13 23:56:21 status half-installed libnpth0:amd64 1.3-1
2018-03-13 23:56:21 status unpacked libnpth0:amd64 1.3-1
2018-03-13 23:56:21 status unpacked libnpth0:amd64 1.3-1
2018-03-13 23:56:21 install readline-common:all <none> 7.0-3
2018-03-13 23:56:21 status half-installed readline-common:all 7.0-3
2018-03-13 23:56:21 status unpacked readline-common:all 7.0-3
2018-03-13 23:56:21 status unpacked readline-common:all 7.0-3
2018-03-13 23:56:22 install libreadline7:amd64 <none> 7.0-3
2018-03-13 23:56:22 status half-installed libreadline7:amd64 7.0-3
2018-03-13 23:56:22 status unpacked libreadline7:amd64 7.0-3
2018-03-13 23:56:22 status unpacked libreadline7:amd64 7.0-3
2018-03-13 23:56:22 install gnupg-agent:amd64 <none> 2.1.18-8~deb9u1
2018-03-13 23:56:22 status half-installed gnupg-agent:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 install libksba8:amd64 <none> 1.3.5-2
2018-03-13 23:56:22 status half-installed libksba8:amd64 1.3.5-2
2018-03-13 23:56:22 status unpacked libksba8:amd64 1.3.5-2
2018-03-13 23:56:22 status unpacked libksba8:amd64 1.3.5-2
2018-03-13 23:56:22 install libsqlite3-0:amd64 <none> 3.16.2-5+deb9u1
2018-03-13 23:56:22 status half-installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-03-13 23:56:22 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-03-13 23:56:22 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-03-13 23:56:22 install gnupg:amd64 <none> 2.1.18-8~deb9u1
2018-03-13 23:56:22 status half-installed gnupg:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status unpacked gnupg:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status unpacked gnupg:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 install dirmngr:amd64 <none> 2.1.18-8~deb9u1
2018-03-13 23:56:22 status half-installed dirmngr:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status unpacked dirmngr:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status unpacked dirmngr:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 startup packages configure
2018-03-13 23:56:22 configure libnpth0:amd64 1.3-1 <none>
2018-03-13 23:56:22 status unpacked libnpth0:amd64 1.3-1
2018-03-13 23:56:22 status half-configured libnpth0:amd64 1.3-1
2018-03-13 23:56:22 status installed libnpth0:amd64 1.3-1
2018-03-13 23:56:22 configure readline-common:all 7.0-3 <none>
2018-03-13 23:56:22 status unpacked readline-common:all 7.0-3
2018-03-13 23:56:22 status half-configured readline-common:all 7.0-3
2018-03-13 23:56:22 status installed readline-common:all 7.0-3
2018-03-13 23:56:22 configure libreadline7:amd64 7.0-3 <none>
2018-03-13 23:56:22 status unpacked libreadline7:amd64 7.0-3
2018-03-13 23:56:22 status half-configured libreadline7:amd64 7.0-3
2018-03-13 23:56:22 status installed libreadline7:amd64 7.0-3
2018-03-13 23:56:22 configure libksba8:amd64 1.3.5-2 <none>
2018-03-13 23:56:22 status unpacked libksba8:amd64 1.3.5-2
2018-03-13 23:56:22 status half-configured libksba8:amd64 1.3.5-2
2018-03-13 23:56:22 status installed libksba8:amd64 1.3.5-2
2018-03-13 23:56:22 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-03-13 23:56:22 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:22 status installed libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:22 configure libsqlite3-0:amd64 3.16.2-5+deb9u1 <none>
2018-03-13 23:56:22 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:22 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-03-13 23:56:22 status half-configured libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-03-13 23:56:22 status installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2018-03-13 23:56:22 configure libassuan0:amd64 2.4.3-2 <none>
2018-03-13 23:56:22 status unpacked libassuan0:amd64 2.4.3-2
2018-03-13 23:56:22 status half-configured libassuan0:amd64 2.4.3-2
2018-03-13 23:56:22 status installed libassuan0:amd64 2.4.3-2
2018-03-13 23:56:22 configure pinentry-curses:amd64 1.0.0-2 <none>
2018-03-13 23:56:22 status unpacked pinentry-curses:amd64 1.0.0-2
2018-03-13 23:56:22 status half-configured pinentry-curses:amd64 1.0.0-2
2018-03-13 23:56:22 status installed pinentry-curses:amd64 1.0.0-2
2018-03-13 23:56:22 configure gnupg-agent:amd64 2.1.18-8~deb9u1 <none>
2018-03-13 23:56:22 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status half-configured gnupg-agent:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status installed gnupg-agent:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 configure dirmngr:amd64 2.1.18-8~deb9u1 <none>
2018-03-13 23:56:22 status unpacked dirmngr:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status half-configured dirmngr:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status installed dirmngr:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 configure gnupg:amd64 2.1.18-8~deb9u1 <none>
2018-03-13 23:56:22 status unpacked gnupg:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 status half-configured gnupg:amd64 2.1.18-8~deb9u1
